Date,Open,High,Low,Close,Adj Close,Volume
2022-12-29,25.010000,25.590000,25.010000,25.049999,25.049999,41000
2022-12-30,25.090000,25.200001,25.061001,25.100000,25.100000,7200
2023-01-03,25.110001,25.110001,25.010000,25.014999,25.014999,8000
2023-01-04,25.020000,25.020000,25.000000,25.010000,25.010000,13600
2023-01-05,25.000000,25.014999,25.000000,25.014999,25.014999,6300
2023-01-06,25.000000,25.004999,25.000000,25.004999,25.004999,500
2023-01-09,25.020000,25.020000,25.003000,25.010000,25.010000,2100
2023-01-10,25.010000,25.010000,25.007999,25.010000,25.010000,2800
2023-01-11,25.007000,25.010000,25.007000,25.010000,25.010000,800
2023-01-12,25.010000,25.010000,25.004999,25.004999,25.004999,600
2023-01-13,25.020000,25.020000,25.010000,25.010000,25.010000,600
2023-01-17,25.020000,25.020000,25.000000,25.010000,25.010000,1000
2023-01-18,25.020000,25.020000,25.000000,25.010000,25.010000,1800
2023-01-19,25.386000,25.386000,25.386000,25.386000,25.386000,200
2023-01-20,25.209999,25.360001,25.200001,25.360001,25.360001,4200
2023-01-23,25.139999,25.339001,25.061001,25.280001,25.280001,9400
2023-01-24,25.059999,26.889999,25.010000,25.160000,25.160000,2200
2023-01-25,25.170000,25.340000,25.169001,25.340000,25.340000,1700
2023-01-26,25.379999,25.500000,25.340000,25.459999,25.459999,3100
2023-01-27,26.730000,26.730000,25.200001,25.200001,25.200001,1400
2023-01-30,25.020000,25.245001,25.010000,25.174999,25.174999,1900
2023-01-31,25.350000,25.360001,25.340000,25.360001,25.360001,400
2023-02-01,25.013000,25.184999,25.000000,25.122000,25.122000,1400
2023-02-02,25.129999,25.129999,25.010000,25.025000,25.025000,1700
2023-02-03,24.910000,24.930000,24.604000,24.604000,24.604000,1700
2023-02-06,24.424999,24.424999,24.424999,24.424999,24.424999,200
2023-02-07,24.548000,24.548000,24.548000,24.548000,24.548000,100
2023-02-08,24.469999,24.514999,24.469999,24.514999,24.514999,300
2023-02-09,24.760000,24.780001,24.760000,24.780001,24.780001,300
2023-02-10,24.000000,24.504000,24.000000,24.504000,24.504000,1700
2023-02-13,24.334999,24.334999,24.334999,24.334999,24.334999,200
2023-02-14,24.330000,24.430000,24.330000,24.430000,24.430000,300
2023-02-15,24.170000,24.170000,24.103001,24.103001,24.103001,500
2023-02-16,24.410000,24.459999,24.410000,24.431000,24.431000,700
2023-02-17,24.240000,24.320000,24.240000,24.320000,24.320000,500
2023-02-21,24.709999,24.754999,24.709999,24.754999,24.754999,900
2023-02-22,24.490000,24.610001,24.490000,24.533001,24.533001,1000
2023-02-23,24.430000,25.350000,24.000000,25.350000,25.350000,8700
2023-02-24,24.000000,24.000000,23.636000,23.655001,23.655001,5600
2023-02-27,23.855000,23.855000,23.855000,23.855000,23.855000,300
2023-02-28,23.990000,24.500000,23.950001,24.089001,24.089001,2300
2023-03-01,24.090000,25.221001,24.090000,25.221001,25.221001,1400
2023-03-02,24.100000,24.100000,23.767000,23.767000,23.767000,3100
2023-03-03,23.899000,23.899000,23.570000,23.576000,23.576000,2300
2023-03-06,25.090000,25.090000,23.215000,23.215000,23.215000,2600
2023-03-07,22.969999,22.969999,22.809999,22.853001,22.853001,2500
2023-03-08,23.030001,23.965000,22.537001,22.537001,22.537001,2800
2023-03-09,22.430000,22.430000,22.225000,22.299999,22.299999,1000
2023-03-10,22.240000,22.305000,22.128000,22.128000,22.128000,700
2023-03-13,22.356001,22.356001,22.356001,22.356001,22.356001,100
2023-03-14,22.219999,22.219999,22.219999,22.219999,22.219999,600
2023-03-15,22.219999,22.219999,22.219999,22.219999,22.219999,0
2023-03-16,21.665001,21.665001,21.665001,21.665001,21.665001,100
2023-03-17,21.650000,23.530001,21.650000,22.020000,22.020000,2900
2023-03-20,22.010000,23.590000,21.959999,22.917000,22.917000,4700
2023-03-21,22.389999,24.520000,22.131001,22.131001,22.131001,4800
2023-03-22,22.290001,24.000000,22.100000,22.195999,22.195999,8400
2023-03-23,22.430000,22.506001,22.420000,22.506001,22.506001,400
2023-03-24,22.549999,22.549999,22.530001,22.530001,22.530001,400
2023-03-27,22.635000,22.635000,22.635000,22.635000,22.635000,100
2023-03-28,22.646000,22.646000,22.646000,22.646000,22.646000,100
2023-03-29,22.740000,22.740000,22.415001,22.415001,22.415001,200
2023-03-30,22.504999,22.504999,22.504999,22.504999,22.504999,100
2023-03-31,22.540001,22.540001,22.540001,22.540001,22.540001,100
2023-04-03,22.600000,22.600000,22.295000,22.295000,22.295000,300
2023-04-04,22.000000,22.000000,21.830000,21.944000,21.944000,600
2023-04-05,22.000000,22.000000,22.000000,22.000000,22.000000,200
2023-04-06,22.090000,22.330000,22.090000,22.330000,22.330000,700
2023-04-10,21.860001,22.139999,21.860001,22.035000,22.035000,2900
2023-04-11,22.179001,22.179001,22.179001,22.179001,22.179001,200
2023-04-12,22.330000,22.385000,22.120001,22.120001,22.120001,500
2023-04-13,22.350000,22.570000,22.350000,22.535000,22.535000,4400
2023-04-14,22.820000,22.820000,22.260000,22.431000,22.431000,3100
