Open,Close,High,Low,Volume,Date
0,2329.75,2335.15,2260.75,1,167.00,10/26/22
0,2218.77,2236.62,2168.27,2,151.00,10/25/22
0,2181.25,2190.12,2174.8,1,272.00,10/24/22
0,2215.21,2227.13,2171,582.00,10/21/22
0,2209.7,2228,2207.5,926.00,10/20/22
0,2170.5,2196,2170.25,1,068.00,10/19/22
0,2183,2222.26,2183,1,616.00,10/18/22
0,2227.35,2264.69,2216,1,701.00,10/17/22
0,2327.57,2386.95,2300,1,162.00,10/14/22
0,2364.85,2390.15,2297.8,1,066.00,10/13/22
0,2204.69,2311,2204.69,1,328.00,10/12/22
0,2236,2236.2,2200,1,288.00,10/11/22
0,2260,2289.85,2260,896.00,10/10/22
0,2330.43,2351.75,2298.75,1,011.00,10/07/22
0,2362.65,2391.75,2342.15,561.00,10/06/22
0,2298.15,2370.5,2271.85,1,141.00,10/05/22
0,2349.79,2349.79,2270.75,958.00,10/04/22
0,2224.35,2224.35,2142.38,1,228.00,10/03/22
0,2149.85,2224.81,2149.85,765.00,09/30/22
0,2197,2272.15,2126.08,1,306.00,09/29/22
0,2115.53,2134.25,2092,1,104.00,09/28/22
0,2111.32,2139.08,2111.32,1,033.00,09/27/22
0,2139.35,2161.29,2135.98,667.00,09/26/22
0,2165.15,2205.18,2159.86,1,242.00,09/23/22
0,2231.04,2232.58,2209.1,575.00,09/22/22
0,2215.91,2246.5,2201,1,879.00,09/21/22
0,2245.5,2265.7,2244.65,1,090.00,09/20/22
0,2249.34,2277.51,2245.75,771.00,09/19/22
0,2276.85,2285.9,2260.6,742.00,09/16/22
0,2310.38,2310.38,2281,2,067.00,09/15/22
0,2270.35,2307.35,2227.4,1,207.00,09/14/22
0,2313,2329,2305.45,957.00,09/13/22
0,2290.28,2309.5,2282.8,925.00,09/12/22
0,2290.25,2311.48,2270.5,1,191.00,09/09/22
0,2267.35,2278.83,2267.35,592.00,09/08/22
0,2244.52,2251.13,2234.85,989.00,09/07/22
0,2259.82,2288.16,2259.82,1,026.00,09/06/22
0,2289.15,2294.08,2285.35,215.00,09/05/22
0,2295.65,2308.83,2295.35,1,088.00,09/02/22
0,2300.72,2324.54,2290,1,430.00,09/01/22
0,2370.85,2401.87,2344.5,1,244.00,08/31/22
0,2395.11,2405.95,2390.85,1,176.00,08/30/22
0,2493.65,2502,2432.09,941.00,08/26/22
0,2433.65,2434.27,2426.48,332.00,08/25/22
0,2430,2440.36,2413,537.00,08/24/22
0,2427.65,2436.5,2392.75,1,224.00,08/23/22
0,2387.25,2397.71,2380,964.00,08/22/22
0,2386.2,2398,2373,972.00,08/19/22
0,2404.65,2413.65,2381.65,400.00,08/18/22
0,2411,2439.75,2407.15,635.00,08/17/22
0,2392,2442.6,2391.8,1,433.00,08/16/22
0,2384,2395.24,2383.85,826.00,08/15/22
0,2487.09,2516.5,2434.3,742.00,08/12/22
0,2511.6,2520.7,2491.8,1,003.00,08/11/22
0,2489.65,2489.7,2448,1,073.00,08/10/22
0,2492.59,2492.59,2441.25,775.00,08/09/22
0,2445.65,2445.7,2432.41,765.00,08/08/22
0,2418.65,2442,2415.85,409.00,08/05/22
0,2402.8,2410,2372.5,1,171.00,08/04/22
0,2377.85,2408.36,2377.8,795.00,08/03/22
0,2414.3,2437,2414.3,860.00,08/02/22
0,2448.84,2457.12,2430.3,942.00,08/01/22
0,2460.85,2488.03,2437,1,218.00,07/29/22
0,2471.6,2481.83,2442.25,1,374.00,07/28/22
0,2420.95,2425.64,2385,1,020.00,07/27/22
0,2423.65,2436.54,2415.15,1,123.00,07/26/22
0,2409.15,2442.05,2408.3,404.00,07/25/22
0,2475.7,2475.7,2436.71,587.00,07/22/22
0,2428.77,2432.35,2407.15,530.00,07/21/22
0,2447,2453.32,2406.83,975.00,07/20/22
0,2385.5,2426.75,2385.5,928.00,07/19/22
0,2431.15,2455.85,2362.9,1,197.00,07/18/22
0,2339.43,2346.15,2316.65,1,182.00,07/15/22
0,2340.99,2346.95,2336.35,944.00,07/14/22
0,2369.31,2369.31,2355,1,211.00,07/13/22
0,2359.85,2385.75,2358.43,1,613.00,07/12/22
0,2381.38,2427,2375,1,062.00,07/11/22
0,2436.65,2448.75,2412,1,120.00,07/08/22
0,2442.7,2466.33,2409.5,654.00,07/07/22
0,2388.07,2409.7,2379.3,1,206.00,07/06/22
0,2392,2430.45,2387.05,1,276.00,07/05/22
0,2463.85,2488.25,2450,398.00,07/04/22
0,2397.69,2444.75,2397.69,2,455.00,07/01/22
0,2431.33,2451.15,2418.48,1,395.00,06/30/22
0,2470.85,2476.42,2467.15,1,175.00,06/29/22
0,2490.85,2523,2478.5,1,422.00,06/28/22
0,2474.77,2503.5,2473.98,1,402.00,06/27/22
0,2455.85,2477.45,2430.25,695.00,06/24/22
0,2477.35,2529,2477,833.00,06/23/22
0,2479.5,2508,2469.55,2,126.00,06/22/22
0,2533.65,2548,2513,1,857.00,06/21/22
0,2527,2529.19,2480.3,858.00,06/20/22
0,2497.85,2522.36,2497.85,530.00,06/17/22
0,2504.5,2636.75,2504,1,111.00,06/16/22
0,2583.98,2612.5,2563.5,1,655.00,06/15/22
0,2566.8,2643,2560.01,1,598.00,06/14/22
0,2638.37,2653,2605.25,1,599.00,06/13/22
0,2685.69,2744,2669.5,229.00,06/10/22
0,2760.85,2837.75,2751.5,1,470.00,06/09/22
0,2802.69,2839,2765.4,891.00,06/08/22
0,2751.79,2785.5,2744.6,1,820.00,06/07/22
0,2782.65,2809.42,2733.5,1,606.00,06/06/22
0,2726.15,2811.75,2723,1,313.00,06/01/22
0,2787,2868.09,2786,1,375.00,05/31/22
0,2904.85,2908,2888.3,276.00,05/30/22
0,2871.35,2891,2845.85,614.00,05/27/22
0,2862.58,2869,2856.3,278.00,05/26/22
0,2871.86,2883.5,2827,1,567.00,05/25/22
0,2878.51,2938.68,2878.51,1,272.00,05/24/22
0,2973.21,2994.75,2936.5,1,328.00,05/23/22
0,2977.78,2985.3,2915.25,1,697.00,05/20/22
0,2861.85,2911.5,2837,765.00,05/19/22
0,2878.16,2911.5,2833,784.00,05/18/22
0,2890.65,2890.65,2822,1,289.00,05/17/22
0,2831.8,2838,2811.5,663.00,05/16/22
0,2833.36,2833.7,2737.83,1,287.00,05/13/22
0,2790.13,2790.13,2722,1,111.00,05/12/22
0,2777.57,2805,2760.17,1,730.00,05/11/22
0,2753.65,2770.5,2710.5,1,415.00,05/10/22
0,2753.33,2827.5,2748,1,568.00,05/09/22
0,2841.85,2939.75,2840.5,1,573.00,05/06/22
0,2903.35,3025.25,2895,561.00,05/05/22
0,2952.28,2990.5,2910.5,1,388.00,05/04/22
0,2911,3034.35,2910.85,1,279.00,05/03/22
0,3048.9,3067.75,3018,2,063.00,04/29/22
0,3039.69,3134.75,3027.5,593.00,04/28/22
0,3104.44,3116.15,3088.55,565.00,04/27/22
0,3079.35,3156.15,3039,1,365.00,04/26/22
0,3094.6,3186.75,3075.5,837.00,04/25/22
0,3246.05,3306,3244,932.00,04/22/22
0,3298.15,3298.15,3249.15,409.00,04/21/22
0,3264.25,3273,3228,698.00,04/20/22
0,3263.94,3345,3246.5,926.00,04/19/22
0,3293.25,3300.21,3248.5,1,232.00,04/14/22
0,3233.26,3290.9,3229,842.00,04/13/22
0,3243.27,3282,3232.68,1,214.00,04/12/22
0,3247.85,3317.5,3223.45,1,214.00,04/11/22
0,3376.85,3422.25,3374.5,1,638.00,04/08/22
0,3384.85,3451.85,3354.23,1,747.00,04/07/22
0,3464.68,3494,3439,636.00,04/06/22
0,3464.8,3515,3440.35,1,162.00,04/05/22
0,3468.05,3488,3430,706.00,04/04/22
0,3442.37,3517,3442.37,730.00,04/01/22
0,3490.85,3587,3480.28,1,379.00,03/31/22
0,3551,3557.5,3487.75,473.00,03/30/22
0,3441.15,3630.99,3414.67,2,008.00,03/29/22
0,3615.1,3617.15,3585,755.00,03/28/22
0,3613.84,3620,3577,620.00,03/25/22
0,3590.93,3699.63,3582.15,534.00,03/24/22
0,3683.79,3691.5,3505.5,283.00,03/23/22
0,3504.5,3567,3499.5,1,306.00,03/22/22
0,3521,3551,3495.5,1,879.00,03/21/22
0,3398.63,3443,3379.15,347.00,03/18/22
0,3384.5,3384.75,3294,831.00,03/17/22
0,3271.75,3360.5,3256,961.00,03/16/22
0,3277.5,3358.75,3243.25,1,273.00,03/15/22
0,3330.15,3487.75,3306.35,1,911.00,03/14/22
0,3489.28,3500,3390.15,1,005.00,03/11/22
0,3427.5,3554.3,3306.75,948.00,03/10/22
0,3311.4,3541,3311.4,1,435.00,03/09/22
0,3502.94,3794.75,3477,1,350.00,03/08/22
0,3740.15,4062.5,3701.5,762.00,03/07/22
0,3849,3860.15,3804.19,1,087.00,03/04/22
0,3732.3,3744,3581,1,081.00,03/03/22
0,3530.07,3580.85,3478,1,112.00,03/02/22
0,3462.37,3488,3381,1,483.00,03/01/22
0,3378.8,3515,3368.3,1,959.00,02/28/22
0,3371.98,3384.5,3298,1,319.00,02/25/22
0,3397.23,3445.5,3290.15,1,596.00,02/24/22
0,3298.97,3309.85,3265,1,349.00,02/23/22
0,3303,3366.5,3293,1,501.00,02/22/22
0,3280.6,3284,3255,660.00,02/21/22
0,3253.6,3278.81,3244.28,1,761.00,02/18/22
0,3268.15,3274.18,3227.25,1,180.00,02/17/22
0,3255.8,3256.2,3206,509.00,02/16/22
0,3189.65,3221.02,3173,727.00,02/15/22
0,3202.85,3231.85,3164,1,600.00,02/14/22
0,3136.65,3201.25,3136.5,2,483.00,02/11/22
0,3237.4,3326.28,3237.4,3,772.00,02/10/22
0,3265.8,3268.5,3172.85,3,097.00,02/09/22
0,3182.8,3233.5,3153,6,326.00,02/08/22
0,3119.55,3132.5,3093,2,420.00,02/07/22
0,3074.1,3081.5,3054.36,732.00,02/04/22
0,3027,3050.15,3002.98,960.00,02/03/22
0,2986,3049.85,2965.98,1,132.00,02/02/22
0,3045.32,3061.42,3031.5,806.00,02/01/22
0,3028.65,3081,3020.85,2,110.00,01/31/22
0,3082.35,3119.48,3082.35,756.00,01/28/22
0,3095.99,3115.64,3065.71,1,246.00,01/27/22
0,3093.85,3116.5,3076.15,935.00,01/26/22
0,3082.38,3094.55,3030.23,1,198.00,01/25/22
0,3028.5,3032.22,3010.5,666.00,01/24/22
0,3034.05,3090.35,3029,1,079.00,01/21/22
0,3115.94,3115.94,3025.25,2,871.00,01/20/22
0,3051.15,3052.68,3006.75,1,550.00,01/19/22
0,3025.85,3034.15,3005.5,1,940.00,01/18/22
0,2995.92,3001,2962.05,932.00,01/17/22
0,2964.17,2982.44,2951.15,635.00,01/14/22
0,2952.15,2972,2945.5,1,312.00,01/13/22
0,2982.5,0,0,,01/12/22
0,2970,0,0,,01/11/22
0,2942.66,2954.75,2934.1,419.00,01/10/22
0,2917.23,2968.85,2902.5,859.00,01/07/22
0,2926.91,2926.91,2878.5,1,224.00,01/06/22
0,2916.85,2932.65,2843,1,791.00,01/05/22
0,2837.86,2839.2,2816.26,717.00,01/04/22
0,2818.45,2827.85,2807.25,681.00,12/31/21
0,2818.15,2828.28,2812,889.00,12/30/21
0,2820.45,2822.5,2801.78,1,365.00,12/29/21
0,2836.85,2848.26,2814.63,912.00,12/24/21
0,2846,2846.86,2828.5,1,359.00,12/23/21
0,2824.5,2839.5,2788,1,827.00,12/22/21
0,2753.85,2762.5,2674.75,1,019.00,12/21/21
0,2715,2730.25,2670.85,1,109.00,12/20/21
0,2724.3,2742.69,2667.04,1,032.00,12/17/21
0,2667,2678,2622,1,072.00,12/16/21
0,2603,2612.87,2589.12,2,033.00,12/15/21
0,2628.5,2665.25,2627.7,1,043.00,12/14/21
0,2652.97,2656.92,2610,1,691.00,12/13/21
0,2606.5,2638,2606.35,1,481.00,12/10/21
0,2626.5,2640,2618,931.00,12/09/21
